year,month,CLOUDY_PIXEL_PERCENTAGE,volume_m2_area_fmask_deepwatermap,volume_km2_area_fmask_deepwatermap,volume_m2_area_deepwatermap,volume_km2_area_deepwatermap,volume_km2_area_ndwi,volume_m2_area_fmask_ndwi,volume_km2_area_fmask_ndwi,volume_m2_area_mndwi,volume_km2_area_mndwi,volume_m2_area_fmask_mndwi,volume_km2_area_fmask_mndwi,volume_m2_area_ndwi
2020,8,78.499884,15.42304102675593,1.273773053756165e-06,44.8641,2.9328087258554574e-06,0.0,2.036836082719266,3.6983082838186983e-07,44.8641,6.50152825345162e-06,22.895318570463616,1.6404474878638425e-06,0.0
2020,8,30.496988,8.386808225565249,9.076080145604944e-07,44.8641,2.8241653769902795e-06,1.1825126407092e-10,44.8641,2.925743212827219e-06,44.8641,3.1988918023657197e-06,44.8641,9.792614545753467e-06,0.00011825126407094159
2020,8,14.583625,16.25141085030745,1.3160774434775447e-06,34.248172462268144,2.1350265728008507e-06,0.0,3.8017604843380015,5.760905957376097e-07,4.3430750949325505,6.291439431783646e-07,33.72936977783211,2.1130587164726625e-06,0.0
2020,8,21.450527,12.570995704502206,1.1309550895744854e-06,22.184866372892,1.6068868646440076e-06,1.1825126407092e-10,8.132957946797012,8.910528375905626e-07,9.343148879933661,9.699770174760435e-07,44.8641,2.8889576183189833e-06,0.00011825126407094159
2020,9,45.546368,18.378328240037924,1.4227105208535163e-06,44.8641,2.9328087258554574e-06,0.0,4.550555136949496,6.439372584983124e-07,44.8641,9.619480324184852e-06,8.839915925558396,9.371580241024331e-07,0.0
2020,9,5.33787,14.296550686692159,1.216243813785652e-06,20.33903142917576,1.5175775974544288e-06,8.868844805319e-11,0.9812908812788026,2.3053083930630063e-07,6.913951459308498,8.11553739831872e-07,9.838219985676922,1.0009940679191502e-06,8.86884480532062e-05
2020,9,23.234388,10.177694256554622,1.017138247906204e-06,39.10093134267918,2.3759930861614118e-06,8.041085956824001e-09,12.135228349953833,1.110231555546053e-06,5.177074584969657,6.886080598850058e-07,44.8641,3.4756820525103934e-06,0.017722801299259933
2020,9,0.017505,11.35196605789826,1.0729824073637064e-06,20.151454028407507,1.508501812936984e-06,4.2268914342158074e-07,0.982587115020623,2.307377790184248e-07,6.383121537527047,7.745991397325137e-07,9.28018814126745,9.658709507983375e-07,2.5088706830241545
2020,9,5.109266,9.915363552389975,1.0046627395467199e-06,15.460667888063302,1.2756946367973178e-06,5.912563203546e-11,2.18810891603845,3.8677032196003224e-07,8.07804569220178,8.874716632973803e-07,8.673681457281418,9.263168264713663e-07,5.9125632035470795e-05
2020,9,23.588189,7.3872727529153,8.424220052413878e-07,44.8641,2.7483367539047894e-06,8.747637259647903e-08,1.6152257601874398,3.2261901120154643e-07,15.7196540307956,1.288920916175302e-06,8.650580754605325,9.248102840212724e-07,0.3140375571890608
2020,10,4.768601,5.044374795668102,6.791465723754354e-07,15.229117972325634,1.2638695103902239e-06,1.4781408008865001e-10,3.8853621571817563,5.860828275516043e-07,7.563941818920118,8.539437087707842e-07,13.455104630786765,1.1732716280945764e-06,0.000147814080088677
2020,10,0.261814,11.701947542364357,1.0896262727816915e-06,16.55184686597708,1.331420544990749e-06,1.386496071231789e-08,25.415969769875066,1.7533706180118866e-06,6.76345513507005,8.01716903834201e-07,44.8641,5.3838805358183495e-06,0.03516523321107743
2020,10,1.019545,7.986087428366813,8.814744852008163e-07,12.99557359773551,1.1511464929145986e-06,0.0,35.02872499838465,2.168077801108679e-06,7.098757080717236,8.236060794326219e-07,44.8641,6.885962438657895e-06,0.0
2020,10,21.377623,10.598542329349561,1.037152274350211e-06,14.35501704041592,1.2192296582034433e-06,2.0693971212413998e-10,16.11132315128616,1.3089232420012524e-06,7.495092665846273,8.494536214685441e-07,44.8641,3.1907092090583483e-06,0.0002069397121241478
2020,10,61.558814,7.257627789115805,8.339670398603155e-07,44.8641,2.8380007748865807e-06,1.2298131463377901e-08,27.45834859593076,1.8448675335867774e-06,27.30596493701513,1.838040869210452e-06,44.8641,6.24975842399772e-06,0.030472599244953942
2020,10,85.978577,5.498804976991017,7.115474187308733e-07,17.82659406123098,1.396015297989501e-06,0.0,1.4417768047062813,3.031962410778943e-07,6.321804138358897,7.702272126224378e-07,11.82344089785654,1.0954040614583583e-06,0.0
2020,11,31.328727,7.163793846785402,8.278475369446443e-07,44.8641,2.798977857743171e-06,0.0,2.252261269435591,3.939540862523419e-07,8.762913583304753,9.321362159354538e-07,11.37496483446678,1.0740761467727175e-06,0.0
2020,11,48.687232,14.511892108328194,1.2272411813442495e-06,44.8641,2.9321879067190853e-06,0.0,2.950903222259553,4.743945086365999e-07,44.8641,3.297939583447373e-06,23.127423148281846,1.6508455847742935e-06,0.0
2020,11,31.562757,10.988308565158166,1.0556881599933313e-06,11.222043979295385,1.0668037788159996e-06,0.0,20.877934580568585,1.5436520011820716e-06,6.1962691927646345,7.612765780659985e-07,44.8641,4.709747099473459e-06,0.0
2020,11,10.341017,16.66414857510985,1.3371557312981896e-06,11.463239034309323,1.0782741514308808e-06,0.0,9.663765788583351,9.90886467282455e-07,3.9965112087666186,5.993675747529823e-07,44.8641,2.988714360553621e-06,0.0
2020,11,31.016234,10.214370824198495,1.0188824540512503e-06,22.457983956421018,1.6201014434039356e-06,0.0,33.99892625887495,2.1244726474825192e-06,5.461703323000207,7.0890207288921e-07,44.8641,6.940700147677967e-06,0.0
2020,11,30.018371,17.086148296541754,1.3587070241751188e-06,44.8641,2.8601137612678464e-06,0.0,0.5951335961702189,1.6475357366683937e-07,22.97444513108347,1.643992293628769e-06,7.756447674554219,8.664982291882321e-07,0.0
2020,12,26.487696,9.603476347375892,9.869546127520962e-07,44.8641,2.809531783061502e-06,9.34184986160436e-09,10.996389842774615,1.0560724766015616e-06,9.4269455465038,9.754419263636387e-07,44.8641,4.086393005711142e-06,0.021618572893777548
2020,12,37.194474,16.109007652128785,1.3088049907371816e-06,44.8641,2.93082801718227e-06,0.0,0.7424135202862054,1.9239480664342193e-07,44.8641,3.7298446258556217e-06,5.819664355981857,7.344246743966805e-07,0.0
2020,12,0.703846,11.300370208500944,1.070528693634234e-06,12.089848867953785,1.1080734699767582e-06,2.9562816017735395e-11,26.956827462553598,1.8223997934132986e-06,5.833750785520485,7.354290360300763e-07,44.8641,6.1765581849519865e-06,2.9562816017735397e-05
2020,12,46.889659,23.999832464312693,1.6899288148378262e-06,44.8641,2.7202225158719233e-06,1.401277479240657e-08,6.713659385089686,7.98166469662838e-07,29.724270561209902,1.9434693006689728e-06,40.68413420161772,2.4574956766313506e-06,0.03560793452863625
2020,12,6.163171,8.970210562662977,9.456553587753198e-07,10.129206590855944,1.0148323482568206e-06,0.0,2.6649756074448185,4.402198933200978e-07,3.939419157917674,5.925438236554989e-07,28.347138597171337,1.884684605067276e-06,0.0
2020,12,19.156254,7.722264460075534,8.642689262784943e-07,44.8641,2.8939336227921356e-06,0.0,44.8641,2.907857709136489e-06,44.8641,3.5484982709315913e-06,44.8641,9.709666090854192e-06,0.0
2020,12,62.070313,7.462974532476544,8.473589955163496e-07,41.19814038893381,2.4839564902581813e-06,0.0,44.8641,2.928581243164922e-06,9.285623600720648,9.6622543137483e-07,44.8641,9.739501539375654e-06,0.0
2021,1,4.0585,6.7244396631137695,7.989351028792992e-07,18.866518283079717,1.4463312108516863e-06,0.0,44.8641,2.9328087258554574e-06,4.166994725699676,6.165894227609168e-07,44.8641,9.809688693521198e-06,0.0
2021,1,96.417017,6.6933427072750655,7.967178916779689e-07,44.8641,2.6526714812713976e-06,0.0,44.8641,2.90980885499366e-06,44.8641,5.692190017222826e-06,44.8641,9.641635360215643e-06,0.0
2021,1,90.042002,6.5731011446987475,7.881446750328257e-07,44.8641,2.9198010868076543e-06,0.0,44.8641,2.9328087258554574e-06,44.8641,9.722102451079478e-06,44.8641,9.809688693521198e-06,0.0
